tensor(5.7384),tensor(4.0885),tensor(5.0416),tensor(5.1892),tensor(4.4040),tensor(6.6305),tensor(4.8971),tensor(3.5945),tensor(11.2093),tensor(6.6827),tensor(7.2118),tensor(4.4808),tensor(10.0603),tensor(4.9314),tensor(3.5566),tensor(4.6159),tensor(5.7969),tensor(4.8713),tensor(6.8216),tensor(10.5736),tensor(6.6159),tensor(13.0230),tensor(7.5328),tensor(5.5283),tensor(3.8172),tensor(6.8055),tensor(11.7536),tensor(10.9093),tensor(4.2748),tensor(4.8529),tensor(8.8709),tensor(4.8093),tensor(3.4094),tensor(6.9877),tensor(3.6219),tensor(3.9333),tensor(3.9441),tensor(3.5935),tensor(13.3805),tensor(7.2007),tensor(3.6029),tensor(2.7804),tensor(4.6067),tensor(7.2906),tensor(6.9012),tensor(9.5451),tensor(5.3196),tensor(3.5751),tensor(4.1461),tensor(3.8483),tensor(4.0593),tensor(2.8351),tensor(6.2095),tensor(4.0231),tensor(5.8682),tensor(13.6064),tensor(5.5248),tensor(4.7299),tensor(7.3021),tensor(3.5302),tensor(5.6589),tensor(17.1512),tensor(8.6854),tensor(8.3161),tensor(3.6972),tensor(4.5364),tensor(11.9890),tensor(5.8884),tensor(7.6203),tensor(2.1820),tensor(6.9983),tensor(2.5277),tensor(19.2524),tensor(8.9817),tensor(5.3453),tensor(9.2715),tensor(10.3599),tensor(4.1336),tensor(2.8747),tensor(4.5642),tensor(6.8543),tensor(4.2177),tensor(5.6948),tensor(5.0327),tensor(2.4277),tensor(16.8344),tensor(5.2912),tensor(7.0417),tensor(8.5045),tensor(4.2804),tensor(3.0897),tensor(3.7941),tensor(6.6183),tensor(4.1475),tensor(10.0385),tensor(8.8752),tensor(4.4886),tensor(11.9763),tensor(5.6596),tensor(3.8005)
tensor(6.1367),tensor(17.1882),tensor(2.8250),tensor(4.3172),tensor(4.8597),tensor(21.8175),tensor(3.5256),tensor(7.0783),tensor(6.9677),tensor(3.9778),tensor(7.2637),tensor(4.4799),tensor(2.6517),tensor(8.6131),tensor(4.1310),tensor(8.7046),tensor(6.3769),tensor(4.3407),tensor(8.1042),tensor(9.3687),tensor(12.4824),tensor(9.0330),tensor(6.9612),tensor(4.6223),tensor(6.1660),tensor(7.9422),tensor(7.7791),tensor(15.0969),tensor(9.8375),tensor(5.6734),tensor(10.3557),tensor(4.0626),tensor(6.5744),tensor(5.3199),tensor(5.4429),tensor(5.2771),tensor(6.8666),tensor(6.5086),tensor(4.0239),tensor(11.4607),tensor(10.9153),tensor(9.1700),tensor(8.3914),tensor(12.6370),tensor(6.4165),tensor(16.6611),tensor(5.7417),tensor(10.8145),tensor(6.6027),tensor(5.3156),tensor(9.0277),tensor(2.9336),tensor(6.0089),tensor(9.7412),tensor(6.2332),tensor(3.7081),tensor(3.9312),tensor(11.8412),tensor(6.6656),tensor(4.3332),tensor(12.0035),tensor(9.3721),tensor(2.7059),tensor(5.0267),tensor(7.0573),tensor(10.1108),tensor(3.5674),tensor(7.2521),tensor(4.3953),tensor(14.9933),tensor(2.2699),tensor(14.4330),tensor(4.7465),tensor(10.1207),tensor(8.8542),tensor(4.3576),tensor(8.5970),tensor(3.1248),tensor(3.7357),tensor(6.0662),tensor(7.8554),tensor(8.1668),tensor(10.5447),tensor(10.4050),tensor(9.4071),tensor(19.1559),tensor(3.9892),tensor(9.0982),tensor(9.6692),tensor(10.4434),tensor(7.5184),tensor(9.2420),tensor(4.2078),tensor(7.5196),tensor(9.2291),tensor(10.7515),tensor(4.6800),tensor(10.9338),tensor(1.9427),tensor(11.8080)
tensor(7.6180),tensor(2.7699),tensor(3.9281),tensor(5.8779),tensor(7.8525),tensor(7.7735),tensor(5.0097),tensor(5.0232),tensor(5.2798),tensor(4.8919),tensor(7.6632),tensor(3.7377),tensor(4.8087),tensor(6.0443),tensor(10.0224),tensor(13.2478),tensor(5.0278),tensor(4.9759),tensor(3.2948),tensor(11.0950),tensor(4.2176),tensor(18.6747),tensor(5.0925),tensor(6.3081),tensor(12.8591),tensor(4.4071),tensor(5.1518),tensor(8.4898),tensor(6.8230),tensor(5.6316),tensor(6.0848),tensor(4.1422),tensor(5.2461),tensor(12.2022),tensor(4.5476),tensor(11.5115),tensor(7.5368),tensor(6.5211),tensor(8.6367),tensor(7.6693),tensor(8.8565),tensor(6.4692),tensor(7.0479),tensor(10.7360),tensor(9.0247),tensor(7.6051),tensor(11.8864),tensor(6.6894),tensor(5.7060),tensor(4.5147),tensor(6.2101),tensor(7.6359),tensor(13.1055),tensor(15.4259),tensor(3.8411),tensor(8.2392),tensor(4.7135),tensor(4.6713),tensor(8.6719),tensor(13.0052),tensor(5.7764),tensor(5.5719),tensor(7.4307),tensor(10.3250),tensor(2.5757),tensor(9.1802),tensor(10.3280),tensor(4.7610),tensor(7.6432),tensor(10.5356),tensor(4.0917),tensor(14.0597),tensor(6.3491),tensor(6.4990),tensor(9.4757),tensor(3.0200),tensor(4.0995),tensor(2.9004),tensor(15.1430),tensor(2.6114),tensor(4.9518),tensor(4.7242),tensor(4.0016),tensor(4.6255),tensor(11.7721),tensor(8.4292),tensor(9.5187),tensor(7.8446),tensor(17.0418),tensor(7.7063),tensor(13.3053),tensor(4.5770),tensor(4.6438),tensor(10.8116),tensor(3.0942),tensor(5.4062),tensor(10.9452),tensor(10.2113),tensor(9.6026),tensor(5.8289)
tensor(7.1769),tensor(9.4126),tensor(15.5105),tensor(8.7872),tensor(5.4249),tensor(11.5501),tensor(7.5647),tensor(4.2323),tensor(5.6462),tensor(13.9329),tensor(12.9532),tensor(6.0945),tensor(6.7980),tensor(5.3082),tensor(9.4418),tensor(16.2089),tensor(10.9391),tensor(5.2250),tensor(4.6887),tensor(11.9210),tensor(5.0061),tensor(13.6781),tensor(15.3021),tensor(17.2051),tensor(14.1169),tensor(9.5318),tensor(8.0956),tensor(5.0577),tensor(8.3572),tensor(13.8513),tensor(4.4495),tensor(5.8211),tensor(8.6820),tensor(20.6111),tensor(6.3897),tensor(5.3712),tensor(5.8738),tensor(13.0993),tensor(8.9875),tensor(13.2509),tensor(18.6533),tensor(15.7139),tensor(3.9865),tensor(4.1677),tensor(9.2777),tensor(17.8829),tensor(10.3867),tensor(9.8325),tensor(5.7036),tensor(6.2407),tensor(10.1665),tensor(5.3352),tensor(6.0021),tensor(14.3164),tensor(8.8459),tensor(7.4529),tensor(9.3606),tensor(13.2494),tensor(7.3922),tensor(10.2780),tensor(6.6610),tensor(8.5428),tensor(7.0057),tensor(3.4349),tensor(6.1155),tensor(8.8108),tensor(9.5916),tensor(5.1750),tensor(8.1797),tensor(5.4200),tensor(9.2112),tensor(22.5228),tensor(4.0412),tensor(19.0198),tensor(3.9753),tensor(24.7392),tensor(3.9572),tensor(5.0948),tensor(14.7391),tensor(5.4879),tensor(7.0478),tensor(9.4319),tensor(12.2855),tensor(22.1109),tensor(11.4290),tensor(10.3604),tensor(2.7269),tensor(9.5440),tensor(10.9118),tensor(15.2097),tensor(13.6467),tensor(3.3744),tensor(3.3051),tensor(14.5199),tensor(16.8619),tensor(12.6304),tensor(11.7809),tensor(6.5802),tensor(14.9042),tensor(4.3998)
tensor(4.5750),tensor(5.5122),tensor(8.7907),tensor(2.9471),tensor(6.0685),tensor(5.3250),tensor(11.8219),tensor(4.8251),tensor(4.8707),tensor(6.3783),tensor(3.8223),tensor(4.4905),tensor(3.1945),tensor(5.5586),tensor(9.8444),tensor(15.8691),tensor(3.0272),tensor(3.9612),tensor(5.9335),tensor(4.4006),tensor(4.5832),tensor(5.2482),tensor(3.3740),tensor(8.1141),tensor(7.7506),tensor(5.9982),tensor(6.4548),tensor(7.7818),tensor(3.8544),tensor(4.9414),tensor(2.9106),tensor(7.7681),tensor(2.5087),tensor(6.1106),tensor(5.7389),tensor(6.5591),tensor(6.1290),tensor(2.7767),tensor(5.8574),tensor(5.1674),tensor(2.7270),tensor(10.8751),tensor(2.7136),tensor(3.6160),tensor(6.9648),tensor(2.6677),tensor(4.2798),tensor(3.0317),tensor(3.9209),tensor(2.3532),tensor(4.1643),tensor(5.8047),tensor(3.8024),tensor(12.3483),tensor(5.6293),tensor(5.0031),tensor(1.3634),tensor(7.2342),tensor(5.2099),tensor(7.6071),tensor(5.6417),tensor(8.7590),tensor(2.7342),tensor(2.5222),tensor(5.1105),tensor(8.3412),tensor(2.2725),tensor(6.5572),tensor(14.2343),tensor(6.1371),tensor(7.0436),tensor(2.1516),tensor(3.0643),tensor(1.4782),tensor(6.0257),tensor(2.1137),tensor(2.9456),tensor(2.5120),tensor(5.3768),tensor(1.4676),tensor(4.0039),tensor(7.0210),tensor(3.7328),tensor(5.2096),tensor(9.3013),tensor(3.1015),tensor(1.6526),tensor(4.6489),tensor(4.2402),tensor(3.6433),tensor(16.1436),tensor(3.9716),tensor(2.4688),tensor(2.4158),tensor(6.5098),tensor(3.5267),tensor(3.4400),tensor(1.5288),tensor(2.1285),tensor(11.6884)
tensor(5.4138),tensor(5.8184),tensor(4.3881),tensor(4.1473),tensor(7.0710),tensor(5.5613),tensor(5.0584),tensor(3.9254),tensor(7.1503),tensor(7.5972),tensor(6.7750),tensor(4.9085),tensor(7.8507),tensor(4.6323),tensor(6.0493),tensor(3.1878),tensor(6.7811),tensor(4.0376),tensor(6.0158),tensor(6.3287),tensor(3.4986),tensor(3.3958),tensor(3.0985),tensor(3.4397),tensor(6.5345),tensor(4.1769),tensor(5.7347),tensor(4.8271),tensor(4.5410),tensor(10.2792),tensor(3.2462),tensor(4.3873),tensor(8.1221),tensor(5.4716),tensor(3.6094),tensor(9.0474),tensor(3.0103),tensor(3.0362),tensor(4.2267),tensor(4.0312),tensor(4.7016),tensor(4.3932),tensor(3.7297),tensor(4.8158),tensor(7.0957),tensor(5.8032),tensor(4.0022),tensor(5.9312),tensor(2.4106),tensor(4.3919),tensor(4.2026),tensor(3.7169),tensor(6.2355),tensor(3.2527),tensor(5.1222),tensor(4.0838),tensor(2.2903),tensor(6.5920),tensor(2.6605),tensor(3.6004),tensor(6.4512),tensor(4.0884),tensor(5.6181),tensor(2.5274),tensor(5.5174),tensor(5.5457),tensor(12.7377),tensor(4.6532),tensor(4.3653),tensor(5.5155),tensor(6.3263),tensor(3.4383),tensor(2.3385),tensor(8.2413),tensor(2.1730),tensor(7.8766),tensor(8.4094),tensor(5.6364),tensor(8.4734),tensor(7.4408),tensor(5.3285),tensor(2.9418),tensor(1.6331),tensor(7.3403),tensor(2.8185),tensor(4.0277),tensor(5.6788),tensor(3.4859),tensor(5.3828),tensor(12.7850),tensor(3.7933),tensor(7.3577),tensor(3.3972),tensor(3.7820),tensor(5.3687),tensor(9.2125),tensor(3.5675),tensor(4.2794),tensor(3.2730),tensor(3.9302)
tensor(6.3530),tensor(5.3050),tensor(5.0754),tensor(5.0143),tensor(10.9540),tensor(6.7767),tensor(8.8766),tensor(5.7689),tensor(5.7052),tensor(3.7555),tensor(7.0153),tensor(8.4517),tensor(7.8294),tensor(4.1034),tensor(14.1618),tensor(7.0569),tensor(6.8995),tensor(16.5713),tensor(7.7347),tensor(9.6554),tensor(3.8214),tensor(3.9401),tensor(4.2634),tensor(5.2162),tensor(10.0453),tensor(4.6356),tensor(8.4811),tensor(9.6214),tensor(7.5290),tensor(7.2884),tensor(5.6147),tensor(5.2520),tensor(4.6286),tensor(4.3914),tensor(5.2440),tensor(18.8062),tensor(4.4184),tensor(3.6308),tensor(6.1749),tensor(8.4963),tensor(6.2968),tensor(7.2712),tensor(16.8746),tensor(6.1193),tensor(10.5346),tensor(25.4561),tensor(4.4765),tensor(15.2987),tensor(6.6374),tensor(3.9929),tensor(5.9885),tensor(4.1545),tensor(8.1432),tensor(7.0405),tensor(6.1796),tensor(2.8468),tensor(7.1822),tensor(5.9594),tensor(7.1500),tensor(5.8169),tensor(7.4876),tensor(22.9047),tensor(12.6908),tensor(7.2210),tensor(7.4661),tensor(14.7496),tensor(5.1773),tensor(6.6724),tensor(3.8914),tensor(16.8331),tensor(17.8312),tensor(6.9712),tensor(6.5601),tensor(6.7900),tensor(6.2819),tensor(5.6724),tensor(6.4312),tensor(25.3221),tensor(4.1752),tensor(12.9533),tensor(7.2276),tensor(5.2100),tensor(11.5036),tensor(2.4799),tensor(5.2677),tensor(8.9073),tensor(11.5654),tensor(4.1127),tensor(4.8796),tensor(7.6909),tensor(7.9458),tensor(6.2143),tensor(4.2258),tensor(15.0998),tensor(18.2254),tensor(14.3133),tensor(8.5312),tensor(11.6856),tensor(6.1010),tensor(4.1563)
tensor(8.7845),tensor(5.2696),tensor(5.1924),tensor(6.3596),tensor(3.7549),tensor(4.7896),tensor(4.0514),tensor(6.5103),tensor(5.3011),tensor(4.0617),tensor(10.4927),tensor(6.8082),tensor(6.8060),tensor(3.2834),tensor(8.7721),tensor(3.8448),tensor(6.3502),tensor(4.7868),tensor(7.5325),tensor(5.6945),tensor(10.9125),tensor(4.9441),tensor(3.9468),tensor(6.4597),tensor(4.2854),tensor(4.2584),tensor(2.8084),tensor(3.5575),tensor(2.7382),tensor(5.5216),tensor(6.0852),tensor(8.5443),tensor(15.1749),tensor(9.6047),tensor(5.3184),tensor(6.5133),tensor(6.0844),tensor(4.0671),tensor(3.8880),tensor(9.5203),tensor(9.3641),tensor(12.8783),tensor(5.1176),tensor(4.9256),tensor(12.0063),tensor(5.9809),tensor(6.5162),tensor(6.4979),tensor(16.1482),tensor(4.3711),tensor(3.3837),tensor(4.3629),tensor(4.1162),tensor(4.2727),tensor(5.7957),tensor(7.3093),tensor(7.2160),tensor(4.2098),tensor(4.5598),tensor(3.7895),tensor(3.1724),tensor(6.4744),tensor(3.4595),tensor(6.1617),tensor(4.0234),tensor(5.5371),tensor(2.6336),tensor(6.1073),tensor(19.2320),tensor(15.7867),tensor(7.3140),tensor(4.0618),tensor(4.7703),tensor(5.5218),tensor(5.2716),tensor(5.6738),tensor(2.3093),tensor(6.3275),tensor(16.9395),tensor(5.7260),tensor(4.7319),tensor(14.6363),tensor(9.0246),tensor(2.5810),tensor(3.5061),tensor(4.6102),tensor(3.4664),tensor(7.3652),tensor(4.3518),tensor(4.7926),tensor(2.5299),tensor(6.5221),tensor(12.1106),tensor(9.6054),tensor(3.2562),tensor(4.3657),tensor(4.8675),tensor(19.2930),tensor(6.4544),tensor(13.0225)
tensor(10.1836),tensor(10.7347),tensor(8.0770),tensor(14.8304),tensor(10.4978),tensor(4.7977),tensor(3.8678),tensor(4.5937),tensor(5.8777),tensor(5.9251),tensor(5.5116),tensor(6.3956),tensor(12.5683),tensor(4.5570),tensor(4.8055),tensor(5.0915),tensor(5.3506),tensor(17.4387),tensor(7.3802),tensor(3.9251),tensor(5.9552),tensor(6.6880),tensor(4.4265),tensor(5.0631),tensor(5.6136),tensor(4.9779),tensor(11.7787),tensor(3.5679),tensor(10.9304),tensor(14.4797),tensor(18.6472),tensor(8.9673),tensor(11.8127),tensor(11.6321),tensor(10.3240),tensor(3.4317),tensor(13.9850),tensor(12.0540),tensor(14.9466),tensor(4.8346),tensor(3.6240),tensor(7.7709),tensor(8.6773),tensor(6.1701),tensor(4.2324),tensor(6.4970),tensor(5.2049),tensor(6.9027),tensor(5.4758),tensor(19.6417),tensor(5.1969),tensor(7.8854),tensor(11.8455),tensor(3.4742),tensor(3.0195),tensor(5.6600),tensor(7.5015),tensor(6.9333),tensor(5.1649),tensor(8.0190),tensor(10.3155),tensor(6.0613),tensor(3.2066),tensor(4.2155),tensor(14.9455),tensor(3.9454),tensor(12.1086),tensor(4.7997),tensor(7.6351),tensor(5.7527),tensor(7.0211),tensor(8.3235),tensor(4.4217),tensor(9.7735),tensor(7.6390),tensor(5.2235),tensor(5.4045),tensor(8.2332),tensor(6.3963),tensor(5.1212),tensor(6.0520),tensor(6.5271),tensor(10.8733),tensor(5.5030),tensor(16.7897),tensor(19.1046),tensor(3.2898),tensor(18.5840),tensor(12.0619),tensor(7.3895),tensor(1.4715),tensor(7.3778),tensor(11.9380),tensor(6.5089),tensor(4.4111),tensor(8.7712),tensor(5.8974),tensor(8.4025),tensor(9.5868),tensor(10.9466)
tensor(9.5492),tensor(9.6305),tensor(3.9792),tensor(8.3284),tensor(3.4322),tensor(14.7460),tensor(5.9400),tensor(9.9199),tensor(5.5432),tensor(10.9375),tensor(10.1333),tensor(9.0919),tensor(10.9044),tensor(3.7175),tensor(6.9740),tensor(6.3318),tensor(5.7353),tensor(7.5521),tensor(5.9700),tensor(5.9871),tensor(6.8606),tensor(5.0493),tensor(4.7455),tensor(8.4191),tensor(4.9818),tensor(4.8288),tensor(10.4827),tensor(4.4507),tensor(5.5368),tensor(5.4183),tensor(12.2092),tensor(5.6314),tensor(18.1278),tensor(6.8922),tensor(5.4188),tensor(7.6140),tensor(4.7634),tensor(12.7193),tensor(8.8236),tensor(10.1791),tensor(9.9473),tensor(5.3451),tensor(20.4410),tensor(6.9219),tensor(6.9670),tensor(6.1645),tensor(10.2155),tensor(7.3692),tensor(10.0336),tensor(4.2216),tensor(9.0280),tensor(8.2180),tensor(12.4251),tensor(5.9316),tensor(7.2282),tensor(10.2772),tensor(5.7185),tensor(5.0224),tensor(7.1833),tensor(4.3911),tensor(18.3874),tensor(14.4105),tensor(7.6824),tensor(5.2956),tensor(9.8798),tensor(6.1114),tensor(11.5516),tensor(8.3519),tensor(13.0300),tensor(12.1394),tensor(9.6944),tensor(17.8320),tensor(12.7865),tensor(5.3754),tensor(7.8583),tensor(11.9234),tensor(7.7095),tensor(9.2196),tensor(19.5893),tensor(15.0154),tensor(7.5015),tensor(2.0790),tensor(16.2958),tensor(8.7829),tensor(5.3776),tensor(6.0381),tensor(21.3286),tensor(6.3645),tensor(8.9920),tensor(14.9377),tensor(6.8844),tensor(6.3596),tensor(20.2668),tensor(11.2099),tensor(6.7735),tensor(6.7823),tensor(6.1325),tensor(13.6927),tensor(10.8780),tensor(4.3766)
tensor(4.7378),tensor(9.0435),tensor(11.0364),tensor(9.5296),tensor(6.1158),tensor(12.1245),tensor(10.8152),tensor(6.3068),tensor(16.8390),tensor(14.7573),tensor(4.4455),tensor(4.1106),tensor(15.1329),tensor(5.2632),tensor(6.3112),tensor(12.8800),tensor(3.3187),tensor(12.3432),tensor(11.1624),tensor(9.5020),tensor(10.5512),tensor(6.4068),tensor(9.7115),tensor(14.5966),tensor(11.3991),tensor(3.3276),tensor(11.6017),tensor(3.5885),tensor(8.7644),tensor(9.8579),tensor(9.2658),tensor(23.7257),tensor(11.2447),tensor(4.0435),tensor(7.7185),tensor(7.3041),tensor(4.1075),tensor(11.0664),tensor(16.1032),tensor(4.9372),tensor(5.5122),tensor(5.4850),tensor(12.4980),tensor(13.0486),tensor(5.7631),tensor(3.9348),tensor(8.2827),tensor(17.1233),tensor(5.0846),tensor(5.4745),tensor(4.7394),tensor(12.5293),tensor(7.2887),tensor(7.5500),tensor(12.8224),tensor(9.0947),tensor(3.9820),tensor(3.5948),tensor(6.0200),tensor(4.1547),tensor(4.4269),tensor(9.2263),tensor(7.4731),tensor(4.4615),tensor(5.5114),tensor(6.7674),tensor(6.1069),tensor(2.6334),tensor(4.1015),tensor(3.5131),tensor(11.5546),tensor(12.4422),tensor(13.4434),tensor(11.8689),tensor(13.2002),tensor(5.5234),tensor(4.0091),tensor(13.3921),tensor(6.0898),tensor(8.3321),tensor(6.9695),tensor(7.5035),tensor(7.1607),tensor(5.3757),tensor(6.7070),tensor(4.3168),tensor(9.1473),tensor(6.6540),tensor(7.6193),tensor(12.0596),tensor(12.5542),tensor(7.9812),tensor(6.3931),tensor(7.4682),tensor(5.6842),tensor(10.5006),tensor(11.8082),tensor(8.9066),tensor(10.0584),tensor(19.7255)
